fold,epoch,train_loss,valid_loss,mcrmse,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0,1,0.26774564,0.10973432,0.46942237,0.5004276,0.47567037,0.4357572,0.46328616,0.48933697,0.45205608
0,2,0.11744103,0.10660867,0.4623429,0.48773128,0.46035755,0.41852108,0.46613392,0.4899877,0.45132586
0,3,0.0987492,0.1045139,0.45754364,0.5006038,0.44790676,0.41328123,0.45986778,0.47904742,0.44455507
0,4,0.088063486,0.10267245,0.4536219,0.4852069,0.44641733,0.41328752,0.45821023,0.4730705,0.44553894
1,1,0.26655635,0.11915167,0.48959768,0.5113196,0.47736937,0.4349221,0.47406363,0.51101106,0.52890044
1,2,0.11540758,0.11698261,0.48520365,0.4955566,0.45338726,0.4769431,0.4646216,0.4937823,0.5269313
1,3,0.099430956,0.1090886,0.46815953,0.49625912,0.4565022,0.42760578,0.46584868,0.49714375,0.4655975
1,4,0.087037675,0.10784124,0.46550596,0.48986447,0.45351717,0.42385593,0.4678854,0.4945171,0.4633956
2,1,0.27122846,0.15333545,0.5562309,0.58773434,0.48499775,0.52740073,0.6044838,0.6316743,0.50109446
2,2,0.11549908,0.11353471,0.47780213,0.50375044,0.48755366,0.4385426,0.47793788,0.49468562,0.46434253
2,3,0.095698714,0.10855501,0.467149,0.4889884,0.46062827,0.42617217,0.47290573,0.48914275,0.46505663
2,4,0.08476313,0.10789116,0.4655917,0.4899793,0.44969586,0.427399,0.47459254,0.487056,0.46482778
3,1,0.27263328,0.12841825,0.50790775,0.5567977,0.4830345,0.4546231,0.49422953,0.57964075,0.479121
3,2,0.11709833,0.10922184,0.4690852,0.50657225,0.48926535,0.42687386,0.45007613,0.48979846,0.45192522
3,3,0.09804117,0.10519886,0.4600956,0.49647743,0.4582342,0.42192674,0.45079857,0.4851432,0.44799352
3,4,0.08636166,0.10457534,0.45861617,0.49339265,0.45651758,0.41991618,0.44955906,0.48529375,0.44701785
